,family,father,mother,gender,height,kids,male,female,midparental_height
78,22,72.0,67.0,M,71.0,3,1.0,0.0,69.5
79,22,72.0,67.0,F,67.0,3,0.0,1.0,69.5
80,23,72.0,65.0,M,74.2,7,1.0,0.0,68.5
81,23,72.0,65.0,M,70.5,7,1.0,0.0,68.5
82,23,72.0,65.0,M,69.5,7,1.0,0.0,68.5
83,23,72.0,65.0,F,66.0,7,0.0,1.0,68.5
84,23,72.0,65.0,F,65.5,7,0.0,1.0,68.5
85,23,72.0,65.0,F,65.0,7,0.0,1.0,68.5
86,23,72.0,65.0,F,65.0,7,0.0,1.0,68.5
87,24,72.0,65.5,F,65.5,1,0.0,1.0,68.75
88,25,72.0,64.0,F,66.0,2,0.0,1.0,68.0
89,25,72.0,64.0,F,63.0,2,0.0,1.0,68.0
90,26,72.0,63.0,M,70.5,5,1.0,0.0,67.5
91,26,72.0,63.0,M,70.5,5,1.0,0.0,67.5
92,26,72.0,63.0,M,69.0,5,1.0,0.0,67.5
93,26,72.0,63.0,F,65.0,5,0.0,1.0,67.5
94,26,72.0,63.0,F,63.0,5,0.0,1.0,67.5
95,27,72.0,63.0,M,69.0,3,1.0,0.0,67.5
96,27,72.0,63.0,M,67.0,3,1.0,0.0,67.5
97,27,72.0,63.0,F,63.0,3,0.0,1.0,67.5
98,28,72.0,63.0,M,73.0,6,1.0,0.0,67.5
99,28,72.0,63.0,M,67.0,6,1.0,0.0,67.5
100,28,72.0,63.0,F,70.5,6,0.0,1.0,67.5
101,28,72.0,63.0,F,70.0,6,0.0,1.0,67.5
102,28,72.0,63.0,F,66.5,6,0.0,1.0,67.5
103,28,72.0,63.0,F,63.0,6,0.0,1.0,67.5
104,29,72.5,63.5,F,67.5,3,0.0,1.0,68.0
105,29,72.5,63.5,F,67.2,3,0.0,1.0,68.0
106,29,72.5,63.5,F,66.7,3,0.0,1.0,68.0
107,30,72.0,62.0,F,64.0,1,0.0,1.0,67.0
108,31,72.5,62.0,M,71.0,6,1.0,0.0,67.25
109,31,72.5,62.0,M,70.0,6,1.0,0.0,67.25
110,31,72.5,62.0,M,70.0,6,1.0,0.0,67.25
111,31,72.5,62.0,F,66.0,6,0.0,1.0,67.25
112,31,72.5,62.0,F,65.0,6,0.0,1.0,67.25
113,31,72.5,62.0,F,65.0,6,0.0,1.0,67.25
114,32,72.0,62.0,M,74.0,5,1.0,0.0,67.0
115,32,72.0,62.0,M,72.0,5,1.0,0.0,67.0
116,32,72.0,62.0,M,69.0,5,1.0,0.0,67.0
117,32,72.0,62.0,F,67.5,5,0.0,1.0,67.0
118,32,72.0,62.0,F,63.5,5,0.0,1.0,67.0
119,33,72.0,62.0,M,72.0,5,1.0,0.0,67.0
120,33,72.0,62.0,M,71.5,5,1.0,0.0,67.0
121,33,72.0,62.0,M,71.5,5,1.0,0.0,67.0
122,33,72.0,62.0,M,70.0,5,1.0,0.0,67.0
123,33,72.0,62.0,F,68.0,5,0.0,1.0,67.0
124,34,72.0,61.0,F,65.7,1,0.0,1.0,66.5
125,35,71.0,69.0,M,78.0,5,1.0,0.0,70.0
126,35,71.0,69.0,M,74.0,5,1.0,0.0,70.0
127,35,71.0,69.0,M,73.0,5,1.0,0.0,70.0
128,35,71.0,69.0,M,72.0,5,1.0,0.0,70.0
129,35,71.0,69.0,F,67.0,5,0.0,1.0,70.0
130,36,71.0,67.0,M,73.2,4,1.0,0.0,69.0
131,36,71.0,67.0,M,73.0,4,1.0,0.0,69.0
132,36,71.0,67.0,M,69.0,4,1.0,0.0,69.0
133,36,71.0,67.0,F,67.0,4,0.0,1.0,69.0
134,37,71.0,66.0,M,70.0,4,1.0,0.0,68.5
135,37,71.0,66.0,F,67.0,4,0.0,1.0,68.5
136,37,71.0,66.0,F,67.0,4,0.0,1.0,68.5
137,37,71.0,66.0,F,66.5,4,0.0,1.0,68.5
138,38,71.0,66.0,M,70.0,6,1.0,0.0,68.5
139,38,71.0,66.0,M,69.0,6,1.0,0.0,68.5
140,38,71.0,66.0,M,68.5,6,1.0,0.0,68.5
141,38,71.0,66.0,F,66.0,6,0.0,1.0,68.5
142,38,71.0,66.0,F,64.5,6,0.0,1.0,68.5
143,38,71.0,66.0,F,63.0,6,0.0,1.0,68.5
144,39,71.0,66.0,M,71.0,2,1.0,0.0,68.5
145,39,71.0,66.0,F,67.0,2,0.0,1.0,68.5
146,40,71.0,66.0,M,76.0,5,1.0,0.0,68.5
147,40,71.0,66.0,M,72.0,5,1.0,0.0,68.5
148,40,71.0,66.0,M,71.0,5,1.0,0.0,68.5
149,40,71.0,66.0,M,66.0,5,1.0,0.0,68.5
150,40,71.0,66.0,F,66.0,5,0.0,1.0,68.5
151,41,71.7,65.5,M,70.5,1,1.0,0.0,68.6
152,42,71.0,65.5,M,72.0,6,1.0,0.0,68.25
153,42,71.0,65.5,M,72.0,6,1.0,0.0,68.25
154,42,71.0,65.5,M,71.0,6,1.0,0.0,68.25
155,42,71.0,65.5,M,69.0,6,1.0,0.0,68.25
156,42,71.0,65.5,F,66.0,6,0.0,1.0,68.25
157,42,71.0,65.5,F,65.0,6,0.0,1.0,68.25
158,43,71.5,65.5,M,73.0,2,1.0,0.0,68.5
159,43,71.5,65.5,F,65.2,2,0.0,1.0,68.5
160,44,71.5,65.0,M,68.5,2,1.0,0.0,68.25
161,44,71.5,65.0,M,67.7,2,1.0,0.0,68.25
162,45,71.0,65.0,M,68.0,3,1.0,0.0,68.0
163,45,71.0,65.0,M,68.0,3,1.0,0.0,68.0
164,45,71.0,65.0,F,62.0,3,0.0,1.0,68.0
165,46,71.0,64.0,F,68.0,8,0.0,1.0,67.5
166,46,71.0,64.0,F,68.0,8,0.0,1.0,67.5
167,46,71.0,64.0,F,67.5,8,0.0,1.0,67.5
168,46,71.0,64.0,F,66.5,8,0.0,1.0,67.5
169,46,71.0,64.0,F,66.5,8,0.0,1.0,67.5
170,46,71.0,64.0,F,66.0,8,0.0,1.0,67.5
171,46,71.0,64.0,F,65.5,8,0.0,1.0,67.5
172,46,71.0,64.0,F,65.0,8,0.0,1.0,67.5
173,47,71.7,64.5,M,72.0,4,1.0,0.0,68.1
174,47,71.7,64.5,M,71.0,4,1.0,0.0,68.1
175,47,71.7,64.5,M,70.5,4,1.0,0.0,68.1
176,47,71.7,64.5,F,67.0,4,0.0,1.0,68.1
177,48,71.0,64.0,M,68.0,3,1.0,0.0,67.5
178,48,71.0,64.0,M,68.0,3,1.0,0.0,67.5
179,48,71.0,64.0,M,68.0,3,1.0,0.0,67.5
180,49,71.5,64.5,M,72.0,7,1.0,0.0,68.0
181,49,71.5,64.5,M,71.0,7,1.0,0.0,68.0
182,49,71.5,64.5,M,70.0,7,1.0,0.0,68.0
183,49,71.5,64.5,F,66.0,7,0.0,1.0,68.0
184,49,71.5,64.5,F,64.5,7,0.0,1.0,68.0
185,49,71.5,64.5,F,64.5,7,0.0,1.0,68.0
186,49,71.5,64.5,F,62.0,7,0.0,1.0,68.0
187,51,71.2,63.0,F,67.5,2,0.0,1.0,67.1
188,51,71.2,63.0,F,64.5,2,0.0,1.0,67.1
189,52,71.0,63.5,M,71.0,5,1.0,0.0,67.25
190,52,71.0,63.5,M,67.0,5,1.0,0.0,67.25
191,52,71.0,63.5,F,66.0,5,0.0,1.0,67.25
192,52,71.0,63.5,F,65.0,5,0.0,1.0,67.25
193,52,71.0,63.5,F,63.5,5,0.0,1.0,67.25
194,53,71.0,63.0,M,71.0,9,1.0,0.0,67.0
195,53,71.0,63.0,M,70.0,9,1.0,0.0,67.0
196,53,71.0,63.0,M,70.0,9,1.0,0.0,67.0
197,53,71.0,63.0,M,64.0,9,1.0,0.0,67.0
198,53,71.0,63.0,F,65.0,9,0.0,1.0,67.0
199,53,71.0,63.0,F,65.0,9,0.0,1.0,67.0
200,53,71.0,63.0,F,64.0,9,0.0,1.0,67.0
201,53,71.0,63.0,F,63.0,9,0.0,1.0,67.0
202,53,71.0,63.0,F,63.0,9,0.0,1.0,67.0
203,54,71.0,63.0,M,71.0,4,1.0,0.0,67.0
204,54,71.0,63.0,M,71.0,4,1.0,0.0,67.0
205,54,71.0,63.0,M,70.0,4,1.0,0.0,67.0
206,54,71.0,63.0,F,63.5,4,0.0,1.0,67.0
207,55,71.0,62.0,M,71.0,5,1.0,0.0,66.5
208,55,71.0,62.0,M,70.0,5,1.0,0.0,66.5
209,55,71.0,62.0,F,64.5,5,0.0,1.0,66.5
210,55,71.0,62.0,F,62.5,5,0.0,1.0,66.5
211,55,71.0,62.0,F,61.5,5,0.0,1.0,66.5
212,56,71.0,62.0,M,72.0,5,1.0,0.0,66.5
213,56,71.0,62.0,M,70.5,5,1.0,0.0,66.5
214,56,71.0,62.0,M,70.5,5,1.0,0.0,66.5
215,56,71.0,62.0,F,64.5,5,0.0,1.0,66.5
216,56,71.0,62.0,F,60.0,5,0.0,1.0,66.5
217,57,71.0,62.5,M,70.0,5,1.0,0.0,66.75
218,57,71.0,62.5,F,64.0,5,0.0,1.0,66.75
219,57,71.0,62.5,F,64.0,5,0.0,1.0,66.75
220,57,71.0,62.5,F,64.0,5,0.0,1.0,66.75
221,57,71.0,62.5,F,62.5,5,0.0,1.0,66.75
222,58,71.0,62.0,M,70.5,7,1.0,0.0,66.5
223,58,71.0,62.0,M,70.0,7,1.0,0.0,66.5
224,58,71.0,62.0,M,69.0,7,1.0,0.0,66.5
225,58,71.0,62.0,M,69.0,7,1.0,0.0,66.5
226,58,71.0,62.0,M,66.0,7,1.0,0.0,66.5
227,58,71.0,62.0,F,64.5,7,0.0,1.0,66.5
228,58,71.0,62.0,F,64.0,7,0.0,1.0,66.5
229,59,71.0,61.0,F,62.0,1,0.0,1.0,66.0
230,60,71.0,58.0,M,71.5,2,1.0,0.0,64.5
231,60,71.0,58.0,M,69.0,2,1.0,0.0,64.5
232,61,70.0,69.0,M,71.0,4,1.0,0.0,69.5
233,61,70.0,69.0,M,70.0,4,1.0,0.0,69.5
234,61,70.0,69.0,M,69.0,4,1.0,0.0,69.5
235,61,70.0,69.0,F,69.0,4,0.0,1.0,69.5
236,62,70.0,69.0,M,70.0,6,1.0,0.0,69.5
237,62,70.0,69.0,M,68.7,6,1.0,0.0,69.5
238,62,70.0,69.0,F,68.0,6,0.0,1.0,69.5
239,62,70.0,69.0,F,66.0,6,0.0,1.0,69.5
240,62,70.0,69.0,F,64.0,6,0.0,1.0,69.5
241,62,70.0,69.0,F,62.0,6,0.0,1.0,69.5
242,63,70.0,68.0,M,75.0,1,1.0,0.0,69.0
243,64,70.0,67.0,M,70.0,5,1.0,0.0,68.5
244,64,70.0,67.0,M,69.0,5,1.0,0.0,68.5
245,64,70.0,67.0,F,66.0,5,0.0,1.0,68.5
246,64,70.0,67.0,F,64.0,5,0.0,1.0,68.5
247,64,70.0,67.0,F,60.0,5,0.0,1.0,68.5
248,65,70.0,67.0,F,67.5,1,0.0,1.0,68.5
249,66,70.0,66.5,M,73.0,11,1.0,0.0,68.25
250,66,70.0,66.5,M,72.0,11,1.0,0.0,68.25
251,66,70.0,66.5,M,72.0,11,1.0,0.0,68.25
252,66,70.0,66.5,M,66.5,11,1.0,0.0,68.25
253,66,70.0,66.5,F,69.2,11,0.0,1.0,68.25
254,66,70.0,66.5,F,67.2,11,0.0,1.0,68.25
255,66,70.0,66.5,F,66.5,11,0.0,1.0,68.25
256,66,70.0,66.5,F,66.0,11,0.0,1.0,68.25
257,66,70.0,66.5,F,66.0,11,0.0,1.0,68.25
258,66,70.0,66.5,F,64.2,11,0.0,1.0,68.25
259,66,70.0,66.5,F,63.7,11,0.0,1.0,68.25
260,67,70.5,65.0,M,72.0,4,1.0,0.0,67.75
261,67,70.5,65.0,M,70.2,4,1.0,0.0,67.75
262,67,70.5,65.0,M,69.0,4,1.0,0.0,67.75
263,67,70.5,65.0,M,68.5,4,1.0,0.0,67.75
264,68,70.5,65.0,F,68.0,5,0.0,1.0,67.75
265,68,70.5,65.0,F,65.0,5,0.0,1.0,67.75
266,68,70.5,65.0,F,61.5,5,0.0,1.0,67.75
267,68,70.5,65.0,F,61.0,5,0.0,1.0,67.75
268,68,70.5,65.0,F,61.0,5,0.0,1.0,67.75
269,69,70.0,65.0,M,73.0,8,1.0,0.0,67.5
270,69,70.0,65.0,M,72.0,8,1.0,0.0,67.5
271,69,70.0,65.0,M,70.5,8,1.0,0.0,67.5
272,69,70.0,65.0,M,65.0,8,1.0,0.0,67.5
273,69,70.0,65.0,M,65.0,8,1.0,0.0,67.5
274,69,70.0,65.0,F,64.5,8,0.0,1.0,67.5
275,69,70.0,65.0,F,63.0,8,0.0,1.0,67.5
276,69,70.0,65.0,F,62.0,8,0.0,1.0,67.5
277,70,70.0,65.0,M,67.0,5,1.0,0.0,67.5
278,70,70.0,65.0,M,65.0,5,1.0,0.0,67.5
279,70,70.0,65.0,F,64.5,5,0.0,1.0,67.5
280,70,70.0,65.0,F,62.5,5,0.0,1.0,67.5
281,70,70.0,65.0,F,62.5,5,0.0,1.0,67.5
282,71,70.0,65.0,M,70.0,6,1.0,0.0,67.5
283,71,70.0,65.0,M,70.0,6,1.0,0.0,67.5
284,71,70.0,65.0,F,67.0,6,0.0,1.0,67.5
285,71,70.0,65.0,F,65.0,6,0.0,1.0,67.5
286,71,70.0,65.0,F,65.0,6,0.0,1.0,67.5
287,71,70.0,65.0,F,63.0,6,0.0,1.0,67.5
288,72,70.0,65.0,M,79.0,7,1.0,0.0,67.5
289,72,70.0,65.0,M,75.0,7,1.0,0.0,67.5
290,72,70.0,65.0,M,71.0,7,1.0,0.0,67.5
291,72,70.0,65.0,F,69.0,7,0.0,1.0,67.5
292,72,70.0,65.0,F,67.0,7,0.0,1.0,67.5
293,72,70.0,65.0,F,65.7,7,0.0,1.0,67.5
294,72,70.0,65.0,F,62.0,7,0.0,1.0,67.5
295,73,70.0,65.0,M,73.0,3,1.0,0.0,67.5
296,73,70.0,65.0,M,72.5,3,1.0,0.0,67.5
297,73,70.0,65.0,F,65.0,3,0.0,1.0,67.5
298,74,70.0,65.0,M,69.0,2,1.0,0.0,67.5
299,74,70.0,65.0,M,69.0,2,1.0,0.0,67.5
300,75,70.0,64.7,M,72.0,7,1.0,0.0,67.35
301,75,70.0,64.7,M,70.0,7,1.0,0.0,67.35
302,75,70.0,64.7,M,68.7,7,1.0,0.0,67.35
303,75,70.0,64.7,F,66.5,7,0.0,1.0,67.35
304,75,70.0,64.7,F,65.5,7,0.0,1.0,67.35
305,75,70.0,64.7,F,64.7,7,0.0,1.0,67.35
306,75,70.0,64.7,F,64.5,7,0.0,1.0,67.35
307,76,70.0,64.0,M,70.7,7,1.0,0.0,67.0
308,76,70.0,64.0,M,70.0,7,1.0,0.0,67.0
309,76,70.0,64.0,M,68.0,7,1.0,0.0,67.0
310,76,70.0,64.0,M,67.0,7,1.0,0.0,67.0
311,76,70.0,64.0,M,66.0,7,1.0,0.0,67.0
312,76,70.0,64.0,M,65.0,7,1.0,0.0,67.0
313,76,70.0,64.0,F,67.0,7,0.0,1.0,67.0
314,77,70.0,64.0,M,70.0,4,1.0,0.0,67.0
315,77,70.0,64.0,M,68.0,4,1.0,0.0,67.0
316,77,70.0,64.0,M,66.7,4,1.0,0.0,67.0
317,77,70.0,64.0,F,65.5,4,0.0,1.0,67.0
318,78,70.0,64.2,M,72.0,5,1.0,0.0,67.1
319,78,70.0,64.2,M,70.0,5,1.0,0.0,67.1
320,78,70.0,64.2,F,62.5,5,0.0,1.0,67.1
321,78,70.0,64.2,F,61.2,5,0.0,1.0,67.1
322,78,70.0,64.2,F,60.1,5,0.0,1.0,67.1
323,79,70.5,64.0,M,74.0,8,1.0,0.0,67.25
324,79,70.5,64.0,M,69.5,8,1.0,0.0,67.25
325,79,70.5,64.0,M,69.0,8,1.0,0.0,67.25
326,79,70.5,64.0,M,68.0,8,1.0,0.0,67.25
327,79,70.5,64.0,M,68.0,8,1.0,0.0,67.25
328,79,70.5,64.0,M,68.0,8,1.0,0.0,67.25
329,79,70.5,64.0,F,65.5,8,0.0,1.0,67.25
330,79,70.5,64.0,F,65.0,8,0.0,1.0,67.25
331,80,70.5,64.5,F,60.0,1,0.0,1.0,67.5
332,81,70.0,64.0,M,68.0,4,1.0,0.0,67.0
333,81,70.0,64.0,F,65.0,4,0.0,1.0,67.0
334,81,70.0,64.0,F,64.0,4,0.0,1.0,67.0
335,81,70.0,64.0,F,62.0,4,0.0,1.0,67.0
336,82,70.0,64.0,M,71.0,9,1.0,0.0,67.0
337,82,70.0,64.0,M,70.0,9,1.0,0.0,67.0
338,82,70.0,64.0,M,70.0,9,1.0,0.0,67.0
339,82,70.0,64.0,M,70.0,9,1.0,0.0,67.0
340,82,70.0,64.0,M,69.5,9,1.0,0.0,67.0
341,82,70.0,64.0,M,68.5,9,1.0,0.0,67.0
342,82,70.0,64.0,F,69.0,9,0.0,1.0,67.0
343,82,70.0,64.0,F,65.0,9,0.0,1.0,67.0
344,82,70.0,64.0,F,64.0,9,0.0,1.0,67.0
345,83,70.0,63.7,M,70.0,8,1.0,0.0,66.85
346,83,70.0,63.7,M,67.0,8,1.0,0.0,66.85
347,83,70.0,63.7,M,65.5,8,1.0,0.0,66.85
348,83,70.0,63.7,F,63.7,8,0.0,1.0,66.85
349,83,70.0,63.7,F,63.2,8,0.0,1.0,66.85
350,83,70.0,63.7,F,62.5,8,0.0,1.0,66.85
351,83,70.0,63.7,F,62.2,8,0.0,1.0,66.85
352,83,70.0,63.7,F,61.0,8,0.0,1.0,66.85
353,85,70.5,63.0,M,72.5,5,1.0,0.0,66.75
354,85,70.5,63.0,M,69.0,5,1.0,0.0,66.75
355,85,70.5,63.0,M,67.0,5,1.0,0.0,66.75
356,85,70.5,63.0,F,64.5,5,0.0,1.0,66.75
357,85,70.5,63.0,F,64.0,5,0.0,1.0,66.75
358,86,70.0,63.5,M,71.0,4,1.0,0.0,66.75
359,86,70.0,63.5,M,67.5,4,1.0,0.0,66.75
360,86,70.0,63.5,F,67.5,4,0.0,1.0,66.75
361,86,70.0,63.5,F,63.5,4,0.0,1.0,66.75
362,87,70.0,63.0,M,68.0,4,1.0,0.0,66.5
363,87,70.0,63.0,M,67.0,4,1.0,0.0,66.5
364,87,70.0,63.0,F,63.7,4,0.0,1.0,66.5
365,87,70.0,63.0,F,62.0,4,0.0,1.0,66.5
366,88,70.0,63.0,M,70.0,4,1.0,0.0,66.5
367,88,70.0,63.0,M,66.5,4,1.0,0.0,66.5
368,88,70.0,63.0,F,62.0,4,0.0,1.0,66.5
369,88,70.0,63.0,F,61.0,4,0.0,1.0,66.5
370,89,70.5,62.0,M,72.0,8,1.0,0.0,66.25
371,89,70.5,62.0,M,70.0,8,1.0,0.0,66.25
372,89,70.5,62.0,M,69.5,8,1.0,0.0,66.25
373,89,70.5,62.0,M,69.5,8,1.0,0.0,66.25
374,89,70.5,62.0,M,68.0,8,1.0,0.0,66.25
375,89,70.5,62.0,F,65.0,8,0.0,1.0,66.25
376,89,70.5,62.0,F,64.0,8,0.0,1.0,66.25
377,89,70.5,62.0,F,63.0,8,0.0,1.0,66.25
378,90,70.3,62.7,M,70.7,7,1.0,0.0,66.5
379,90,70.3,62.7,M,69.7,7,1.0,0.0,66.5
380,90,70.3,62.7,M,69.2,7,1.0,0.0,66.5
381,90,70.3,62.7,M,65.2,7,1.0,0.0,66.5
382,90,70.3,62.7,F,64.0,7,0.0,1.0,66.5
383,90,70.3,62.7,F,63.5,7,0.0,1.0,66.5
384,90,70.3,62.7,F,63.2,7,0.0,1.0,66.5
385,91,70.5,62.0,M,72.0,3,1.0,0.0,66.25
386,91,70.5,62.0,M,72.0,3,1.0,0.0,66.25
387,91,70.5,62.0,F,60.0,3,0.0,1.0,66.25
388,92,70.0,61.0,M,71.2,2,1.0,0.0,65.5
389,92,70.0,61.0,M,67.0,2,1.0,0.0,65.5
390,93,70.0,60.0,M,67.0,4,1.0,0.0,65.0
391,93,70.0,60.0,M,64.5,4,1.0,0.0,65.0
392,93,70.0,60.0,F,65.0,4,0.0,1.0,65.0
393,93,70.0,60.0,F,63.0,4,0.0,1.0,65.0
394,94,70.0,60.0,F,65.0,2,0.0,1.0,65.0
395,94,70.0,60.0,F,65.0,2,0.0,1.0,65.0
396,95,70.0,58.5,M,71.5,3,1.0,0.0,64.25
397,95,70.0,58.5,M,64.5,3,1.0,0.0,64.25
398,95,70.0,58.5,F,63.0,3,0.0,1.0,64.25
399,96,70.0,58.0,M,72.0,5,1.0,0.0,64.0
400,96,70.0,58.0,M,66.0,5,1.0,0.0,64.0
401,96,70.0,58.0,F,66.0,5,0.0,1.0,64.0
402,96,70.0,58.0,F,65.0,5,0.0,1.0,64.0
403,96,70.0,58.0,F,63.0,5,0.0,1.0,64.0
404,97,69.0,68.5,M,75.0,10,1.0,0.0,68.75
405,97,69.0,68.5,M,71.0,10,1.0,0.0,68.75
406,97,69.0,68.5,M,70.0,10,1.0,0.0,68.75
407,97,69.0,68.5,F,66.0,10,0.0,1.0,68.75
408,97,69.0,68.5,F,66.0,10,0.0,1.0,68.75
409,97,69.0,68.5,F,65.5,10,0.0,1.0,68.75
410,97,69.0,68.5,F,65.0,10,0.0,1.0,68.75
411,97,69.0,68.5,F,65.0,10,0.0,1.0,68.75
412,97,69.0,68.5,F,64.0,10,0.0,1.0,68.75
413,97,69.0,68.5,F,64.0,10,0.0,1.0,68.75
414,98,69.0,67.0,F,64.0,1,0.0,1.0,68.0
415,99,69.0,66.0,M,73.0,8,1.0,0.0,67.5
416,99,69.0,66.0,M,72.0,8,1.0,0.0,67.5
417,99,69.0,66.0,M,71.7,8,1.0,0.0,67.5
418,99,69.0,66.0,M,71.5,8,1.0,0.0,67.5
419,99,69.0,66.0,F,65.5,8,0.0,1.0,67.5
420,99,69.0,66.0,F,65.0,8,0.0,1.0,67.5
421,99,69.0,66.0,F,62.7,8,0.0,1.0,67.5
422,99,69.0,66.0,F,62.5,8,0.0,1.0,67.5
423,100,69.0,66.0,M,71.2,3,1.0,0.0,67.5
424,100,69.0,66.0,M,71.0,3,1.0,0.0,67.5
425,100,69.0,66.0,M,70.0,3,1.0,0.0,67.5
426,101,69.0,66.7,M,75.0,6,1.0,0.0,67.85
427,101,69.0,66.7,M,74.0,6,1.0,0.0,67.85
428,101,69.0,66.7,M,72.0,6,1.0,0.0,67.85
429,101,69.0,66.7,M,68.5,6,1.0,0.0,67.85
430,101,69.0,66.7,M,67.0,6,1.0,0.0,67.85
431,101,69.0,66.7,M,66.0,6,1.0,0.0,67.85
432,102,69.0,66.0,M,70.0,6,1.0,0.0,67.5
433,102,69.0,66.0,M,68.5,6,1.0,0.0,67.5
434,102,69.0,66.0,M,68.0,6,1.0,0.0,67.5
