Season,Episode,Title,IMDB Rating,Total Votes,Air Date
6,21,Happy Hour,8.6,1873,25 Mar 2010
6,22,Secretary's Day,7.9,1613,22 Apr 2010
6,23,Body Language,8.0,1633,29 Apr 2010
6,24,The Cover-Up,8.2,1627,6 May 2010
6,25,The Chump,7.9,1571,13 May 2010
6,26,Whistleblower,8.0,1625,20 May 2010
7,1,Nepotism,8.4,1897,23 Sep 2010
7,2,Counseling,8.3,1684,30 Sep 2010
7,3,Andy's Play,8.2,1802,7 Oct 2010
7,4,Sex Ed,7.9,1650,14 Oct 2010
7,5,The Sting,7.8,1612,21 Oct 2010
7,6,Costume Contest,8.2,1663,28 Oct 2010
7,7,Christening,7.5,1668,4 Nov 2010
7,8,Viewing Party,7.9,1633,11 Nov 2010
7,9,WUPHF.com,7.8,1598,18 Nov 2010
7,10,China,8.2,1661,2 Dec 2010
7,11,Classy Christmas,8.9,2138,9 Dec 2010
7,12,Ultimatum,8.3,1695,20 Jan 2011
7,13,The Seminar,7.7,1616,27 Jan 2011
7,14,The Search,8.5,1742,3 Feb 2011
7,15,PDA,8.4,1736,10 Feb 2011
7,16,Threat Level Midnight,9.3,3525,17 Feb 2011
7,17,Todd Packer,7.5,1581,24 Feb 2011
7,18,Garage Sale,9.2,2742,24 Mar 2011
7,19,Training Day,7.8,1655,14 Apr 2011
7,20,Michael's Last Dundies,8.9,2182,21 Apr 2011
7,21,"Goodbye, Michael",9.7,5749,28 Apr 2011
7,22,The Inner Circle,7.7,1634,5 May 2011
7,23,"Dwight K. Schrute, (Acting) Manager",8.7,1840,12 May 2011
7,24,Search Committee,8.8,2040,19 May 2011
8,1,The List,8.2,1829,22 Sep 2011
8,2,The Incentive,8.2,1668,29 Sep 2011
8,3,Lotto,7.3,1601,6 Oct 2011
8,4,Garden Party,8.1,1717,13 Oct 2011
8,5,Spooked,7.6,1543,27 Oct 2011
8,6,Doomsday,7.8,1476,3 Nov 2011
8,7,Pam's Replacement,7.7,1563,10 Nov 2011
8,8,Gettysburg,7.0,1584,17 Nov 2011
8,9,Mrs. California,7.7,1553,1 Dec 2011
8,10,Christmas Wishes,8.0,1547,8 Dec 2011
8,11,Trivia,7.9,1488,12 Jan 2012
8,12,Pool Party,8.0,1612,19 Jan 2012
8,13,Jury Duty,7.5,1478,2 Feb 2012
8,14,Special Project,7.8,1432,9 Feb 2012
8,15,Tallahassee,7.9,1522,16 Feb 2012
8,16,After Hours,8.1,1567,23 Feb 2012
8,17,Test the Store,7.8,1478,1 Mar 2012
8,18,Last Day in Florida,7.8,1429,8 Mar 2012
8,19,Get the Girl,6.7,1642,15 Mar 2012
8,20,Welcome Party,7.2,1489,12 Apr 2012
8,21,Angry Andy,7.1,1585,19 Apr 2012
8,22,Fundraiser,7.1,1453,26 Apr 2012
8,23,Turf War,7.7,1393,3 May 2012
8,24,Free Family Portrait Studio,7.8,1464,10 May 2012
9,1,New Guys,7.7,1577,20 Sep 2012
9,2,Roy's Wedding,7.2,1477,27 Sep 2012
9,3,Andy's Ancestry,7.5,1461,4 Oct 2012
9,4,Work Bus,7.9,1551,18 Oct 2012
9,5,Here Comes Treble,7.1,1515,25 Oct 2012
9,6,The Boat,7.8,1455,8 Nov 2012
9,7,The Whale,7.7,1406,15 Nov 2012
9,8,The Target,7.8,1438,29 Nov 2012
9,9,Dwight Christmas,8.4,1634,6 Dec 2012
9,10,Lice,7.7,1470,10 Jan 2013
9,11,Suit Warehouse,7.9,1441,17 Jan 2013
9,12,Customer Loyalty,8.0,1508,24 Jan 2013
9,13,Junior Salesman,7.7,1394,31 Jan 2013
9,14,Vandalism,7.6,1402,31 Jan 2013
9,15,Couples Discount,7.4,1407,7 Feb 2013
9,16,Moving On,8.2,1572,14 Feb 2013
9,17,The Farm,7.5,1656,14 Mar 2013
9,18,Promos,8.0,1445,4 Apr 2013
9,19,Stairmageddon,8.0,1484,11 Apr 2013
9,20,Paper Airplane,8.0,1482,25 Apr 2013
9,21,Livin' the Dream,8.9,2041,2 May 2013
9,22,A.A.R.M.,9.3,2860,9 May 2013
9,23,Finale,9.7,7934,16 May 2013
